ingredients
Salt
Sugar
Molasses
Black Pepper
Garlic
Onion
Citric Acid
Pectin
Wheat Flour
Soybean Oil
Dehydrated Garlic
Onion Powder
Yeast
Spices
Rolled Oats
Brown Rice Syrup
Evaporated Cane Juice
Corn Syrup
Canola Oil
High Oleic Sunflower Oil
Calcium Caseinate
Soy Protein Isolate
Sodium Caseinate
Vitamin A
Vitamin C
Potassium
Trans Fat
Dietary Fiber
Saturated fat
Artificial Flavor
Magnesium Phosphate
Magnesium Chloride
Carrageenan
Soy Lecithin
Sodium Ascorbate
Ferrous Sulfate
Zinc Sulfate
Vitamin E Acetate
Niacinamide
Calcium Pantothenate
Cupric Sulfate
Manganese Sulfate
Vitamin A Palmitate
Vitamin B6 Hydrochloride
Thiamin Hydrochloride
Riboflavin
Chromium Chloride
Folic Acid
Vitamin D3
Biotin
Sodium Molybdate
Sodium Selenite
Vitamin K1
Vitamin B12
Filtered Water
Whole Organic Soybeans
Organic Evaporated Cane Juice
Tricalcium Phosphate
Sea Salt
Organic Natural Vanilla Flavor
Vitamin D2
Xanthan Gum
Caramel Color
Rice Vinegar
Pineapple Juice Concentrate
Hydrolyzed Soy Protein
Tomato Paste
Orange Juice Concentrate
Yeast Extract
Red Chili Pepper
Vegetable Oil
Palm Oil
Gelatin
Lactic Acid
Tocopherols
Sodium Benzoate
Potassium Sorbate
Sodium Citrate
Calcium Carbonate
Potassium Chloride
Ascorbic Acid
Sodium Alginate
Tapioca Maltodextrin
Maltodextrin
Sorbitol
Erythritol
Stevia Extract
Sucralose
Aspartame
Glucose Syrup
Monosodium Glutamate (MSG)
Disodium Inosinate
Disodium Guanylate
Gum Arabic
Gellan Gum
Lecithin
Silicon Dioxide
Titanium Dioxide
Sodium Erythorbate
Sodium Nitrate
Sodium Nitrite
BHT (Butylated Hydroxytoluene)
BHA (Butylated Hydroxyanisole)
Propylene Glycol
Sodium Metabisulfite
Calcium Disodium EDTA
Polysorbate 80
Potassium Bromate
Sodium Bisulfite
Sodium
Cholesterol
Total Carbohydrate
Fibre
Protein
Calcium
Iron
